Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
build one pallet for NPI 1B inverter,CTET-4511,81219,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 2:15 PM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35769a92,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076i8:o,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,68003,Lab Buildout,To Do,13/Aug/24 2:15 PM
Design BIC support brackets,CTET-4510,81217,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,13/Aug/24 12:34 PM,13/Aug/24 12:43 PM,14/Aug/24 8:48 AM,13/Aug/24 12:43 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@368e5fe,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2993,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i06tcd:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_13352_*|*_10000_*:*_1_*:*_83323_*|*_10001_*:*_2_*:*_454441,,,78294,24-Q2-KR5.5: BIP PCBA Tester Built & Tested,Done,13/Aug/24 12:43 PM
Print BIC support brackets,CTET-4509,81216,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,13/Aug/24 12:34 PM,13/Aug/24 12:36 PM,14/Aug/24 8:48 AM,13/Aug/24 12:36 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d241be3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2969,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,,,,,,,,,,,,,,,,,,,,,,,2|i06tc9:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_105326_*|*_10001_*:*_1_*:*_0,,,78153,24-Q2-KR5.3 - BIC PCBA Tester Built & Tested,Done,13/Aug/24 12:36 PM
Charge low SOC battieres,CTET-4506,81207,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:54 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57ae9ccf,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:ki,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,68003,Lab Buildout,To Do,13/Aug/24 10:54 AM
Assist with dillon,CTET-4505,81206,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:54 AM,13/Aug/24 10:55 AM,14/Aug/24 8:48 AM,13/Aug/24 10:55 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@85c9a3b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:k9,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_68410_*|*_10001_*:*_1_*:*_0,,,68003,Lab Buildout,Done,13/Aug/24 10:55 AM
Create flash harnesses,CTET-4504,81205,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:54 AM,13/Aug/24 10:55 AM,14/Aug/24 8:48 AM,13/Aug/24 10:55 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5767b0f8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:k4,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_94603_*|*_10001_*:*_1_*:*_0,,,68003,Lab Buildout,Done,13/Aug/24 10:55 AM
CLEAN UP,CTET-4503,81204,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:52 AM,13/Aug/24 10:55 AM,14/Aug/24 8:48 AM,13/Aug/24 10:55 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f985e33,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:k2,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_197375_*|*_10001_*:*_1_*:*_0,,,68003,Lab Buildout,Done,13/Aug/24 10:55 AM
Add grounding tail for all carts.,CTET-4502,81203,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:52 AM,13/Aug/24 10:55 AM,14/Aug/24 8:48 AM,13/Aug/24 10:55 AM,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5145deb2,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:k,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_187515_*|*_10001_*:*_1_*:*_0,,,68003,Lab Buildout,Done,13/Aug/24 10:55 AM
anchor new uline shelving.,CTET-4501,81202,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,13/Aug/24 10:51 AM,14/Aug/24 8:47 AM,14/Aug/24 8:48 AM,,,0,,,,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b939d64,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-483,Lab Buildout,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:m,,,,,,,,,,,,,,,,,,,,,CTET 80724,CTET 81424,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,68003,Lab Buildout,To Do,13/Aug/24 10:51 AM
Create Epic Story Point Sum Automation,CTET-4475,81169,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,12/Aug/24 1:13 PM,13/Aug/24 12:37 PM,14/Aug/24 8:48 AM,12/Aug/24 2:15 PM,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a9a29cf,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4267,"Clean up Jira, Confluence, and Sharepoint",,,,,,,,,,,,,,,,,,,,,,,2|i07749:,,,,,,,,,,,,,,,,,,,,,CTET 80724,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_1629481_*|*_10000_*:*_1_*:*_2110464_*|*_10001_*:*_1_*:*_0,,,80783,"Clean up Jira, Confluence, and Sharepoint",Done,12/Aug/24 2:15 PM
