Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Augment),Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
troubleshoot power polarity issues,CTET-4718,81569,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,21/Aug/24 9:13 AM,21/Aug/24 9:14 AM,21/Aug/24 9:16 AM,21/Aug/24 9:14 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37b87ba,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i0758u:i,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_10964_*|*_10001_*:*_1_*:*_0,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,21/Aug/24 9:14 AM
debug relay control with firmware 1.1.0-rc5,CTET-4717,81568,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,21/Aug/24 9:13 AM,21/Aug/24 9:13 AM,21/Aug/24 9:16 AM,21/Aug/24 9:13 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1294df6f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i0758u:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_16374_*|*_10001_*:*_1_*:*_0,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,21/Aug/24 9:13 AM
Document test/plugin code structure to support automating more tests,CTET-4716,81567,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,21/Aug/24 9:12 AM,21/Aug/24 9:12 AM,21/Aug/24 9:16 AM,21/Aug/24 9:12 AM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1566f926,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i0758v:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_12585_*|*_10001_*:*_1_*:*_0,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,21/Aug/24 9:12 AM
troubleshoot npi1b unit,CTET-4701,81519,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,20/Aug/24 8:22 AM,20/Aug/24 2:27 PM,21/Aug/24 9:16 AM,20/Aug/24 2:27 PM,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6947fe5d,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i0758t:,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_21864781_*|*_10000_*:*_1_*:*_11519_*|*_10001_*:*_1_*:*_0,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,20/Aug/24 2:27 PM
Implement DeEnergizeWeco radian weco function in GRPC application,CTET-4699,81501,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,Zuhair AlMassri,712020:f89e9180-5a0a-48ae-ab45-6916ec092589,19/Aug/24 12:39 PM,19/Aug/24 3:12 PM,21/Aug/24 9:16 AM,19/Aug/24 3:12 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@12b26e30,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3007,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,,,,,,,,,,,,,,,,,,,,,,,2|i076lv:9,,,,,,,,,,,,,,,,,,,,,CTET 81424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_9187320_*|*_10000_*:*_1_*:*_27228_*|*_10001_*:*_1_*:*_0,,,,78308,24-Q2-KR6.1: SDS cabinet-level calibration station deployed,Done,19/Aug/24 3:12 PM
FLIP THAT SHIT AND REVERSE IT.,CTET-4698,81498,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,19/Aug/24 11:35 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,Pin out is revered on a module and need to be flipped on the harness and bulkhead,,phill.McC,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@524bc256,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3052,24-Q2-KR3.4: Inverter EOL Design and Implement Interface Fixture,,,,,,,,,,,,,,,,,,,,,,,2|i076zk:kd,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,78478,24-Q2-KR3.4: Inverter EOL Design and Implement Interface Fixture,To Do,19/Aug/24 11:35 AM
BMU debugging - unstable charging,CTET-4696,81472,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,19/Aug/24 9:35 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fbc49a0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077ms:r,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",To Do,19/Aug/24 9:35 AM
Document test/plugin code structure to support automating more tests,CTET-4692,81467,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,19/Aug/24 8:37 AM,21/Aug/24 9:15 AM,21/Aug/24 9:16 AM,,,0,,,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15910a1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2999,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,,,,,,,,,,,,,,2|i077lh:,,,,,,,,,,,,,,,,,,,,,CTET 81424,CTET 82124,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78300,"24-Q2-KR2.3: SDS EOL Coverage Updated based on test spec, engineering feedback, and failure Pareto",To Do,19/Aug/24 8:37 AM
Write Instructions for Using the DC Power Supply Interface,CTET-4613,81388,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Aug/24 5:16 PM,20/Aug/24 8:38 PM,21/Aug/24 9:16 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c97036f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i078oh:i,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,To Do,17/Aug/24 5:16 PM
Retest 3 failed boards,CTET-4612,81387,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,16/Aug/24 9:07 PM,20/Aug/24 8:38 PM,21/Aug/24 9:16 AM,,,0,,,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43e9b94a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4609,RCA ALC Component Failure,,,,,,,,,,,,,,,,,,,,,,,2|i078oi:,,,,,,,,,,,,,,,,,,,,,CTET 82124,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,81384,RCA ALC Component Failure,To Do,16/Aug/24 9:07 PM
