Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Troubleshoot post provision script returning non-zero exit status when succesfully run,CTET-4984,82091,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,04/Sep/24 2:09 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66b2444b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:h9,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,In Progress,04/Sep/24 2:09 PM
Resolve issue with network access to sqs.us-west-2.amazonaws.com,CTET-4982,82080,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,04/Sep/24 11:34 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,"* Application: Penguin Provision setup
** Purpose: configure LTE provision of penguin
** outbound
** protocol: tcp
** destination port: 443
** destination address: [sqs.us-west-2.amazonaws.com|http://sqs.us-west-2.amazonaws.com/]

Email sent to fernado",,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@321f42c8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:hi,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,In Progress,04/Sep/24 11:35 AM
Root cause program step timeout,CTET-4976,82061,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Sep/24 4:11 PM,04/Sep/24 11:36 AM,04/Sep/24 2:25 PM,03/Sep/24 4:11 PM,,0,[https://github.com/generacclean/firmwareflashstation/commit/43c191bfac0a8f5d24a744807adb9292e2bb16ba|https://github.com/generacclean/firmwareflashstation/commit/43c191bfac0a8f5d24a744807adb9292e2bb16ba],,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ac90e90,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:h,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_13607_*|*_10001_*:*_1_*:*_0,"03/Sep/24 4:11 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;program step has a 1 minute timeout, sometimes the program script can take ~64 seconds. Increase timeout to 2 minutes.",,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,03/Sep/24 4:11 PM
Troubleshoot hang of penguin provision script,CTET-4975,82060,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Sep/24 3:53 PM,04/Sep/24 11:37 AM,04/Sep/24 2:25 PM,04/Sep/24 9:33 AM,,0,"Looks like a prior timeout left the provision script running. Then another script was started, and a race condition was created between the two scripts. 

I will add a defer to the script execution.
[https://github.com/generacclean/firmwareflashstation/commit/d3dccdb2c5f654da4b5668933ffb52bf715ff47d|https://github.com/generacclean/firmwareflashstation/commit/d3dccdb2c5f654da4b5668933ffb52bf715ff47d]",,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e503b7,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:g,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_63586529_*|*_10000_*:*_1_*:*_19649_*|*_10001_*:*_1_*:*_0,"03/Sep/24 3:54 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;Rerun provison as per recommendation from bertrand. (APCBPGN2102-CE243500C33) 

[https://neurio.slack.com/archives/C06RRBDT11S/p1725401633980949|https://neurio.slack.com/archives/C06RRBDT11S/p1725401633980949]",,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,04/Sep/24 9:33 AM
Fix bug with selecting the wrong tty for the debug serial port,CTET-4974,82053,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Sep/24 12:11 PM,04/Sep/24 11:37 AM,04/Sep/24 2:25 PM,03/Sep/24 2:49 PM,,0,[https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|smart-link] ,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d23c6b3,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:f,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_9491018_*|*_10000_*:*_1_*:*_10415_*|*_10001_*:*_1_*:*_0,03/Sep/24 4:12 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;[https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|smart-link] ,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,03/Sep/24 2:49 PM
Fix bug with passing device id to LTE provision script,CTET-4973,82052,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,03/Sep/24 12:11 PM,04/Sep/24 11:38 AM,04/Sep/24 2:25 PM,03/Sep/24 12:11 PM,,0,[https://github.com/generacclean/firmwareflashstation/commit/6439fd65ca9bccc50997a28e9489768741d7029b|https://github.com/generacclean/firmwareflashstation/commit/6439fd65ca9bccc50997a28e9489768741d7029b|smart-link] ,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@719b7dd8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:d,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_11935_*|*_10001_*:*_1_*:*_0,03/Sep/24 4:13 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;[https://github.com/generacclean/firmwareflashstation/commit/6439fd65ca9bccc50997a28e9489768741d7029b|https://github.com/generacclean/firmwareflashstation/commit/6439fd65ca9bccc50997a28e9489768741d7029b|smart-link] ,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,03/Sep/24 12:11 PM
Help Support QA Team on Voltron,CTET-4972,82051,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,03/Sep/24 12:09 PM,04/Sep/24 8:02 AM,04/Sep/24 2:25 PM,04/Sep/24 8:02 AM,,0,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56dfd946,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b05:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_71594788_*|*_10000_*:*_1_*:*_14349_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 8:02 AM
Set up cold cut saw.,CTET-4969,82038,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,03/Sep/24 9:58 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43f5f423,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4763,Build a capable machine shop in Reno,,,,,,,,,,,,,,,,,,,,,,,2|i07bgx:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,81663,Build a capable machine shop in Reno,In Progress,03/Sep/24 9:58 AM
Update ALP and ALC Test Tracker dashboard,CTET-4968,82034,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,03/Sep/24 9:24 AM,04/Sep/24 2:02 PM,04/Sep/24 2:25 PM,04/Sep/24 2:02 PM,,0,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3881c703,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07bgp:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_103064914_*|*_10000_*:*_1_*:*_5830_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 2:02 PM
Create Timeline for BIC NPI2 Test Fixture,CTET-4967,82033,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,03/Sep/24 9:23 AM,04/Sep/24 2:02 PM,04/Sep/24 2:25 PM,04/Sep/24 2:02 PM,,0,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68a0a280,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07bgh:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_103086833_*|*_10000_*:*_1_*:*_22222_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 2:02 PM
