Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Inward issue link (Depend),Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Update PCBA Requirements slides,CTET-5444,82715,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 8:18 PM,17/Sep/24 8:19 PM,18/Sep/24 8:40 AM,17/Sep/24 8:19 PM,,0,,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d008ce0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-4711,ALC FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evx:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_27847_*|*_10001_*:*_1_*:*_0,,,,,81561,ALC FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 8:19 PM
Create Fixture block diagram,CTET-5442,82713,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,17/Sep/24 6:20 PM,18/Sep/24 8:40 AM,17/Sep/24 6:20 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5bab07bd,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evo:r,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_132823_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:20 PM
Review Test Spec for Fixture Requirements,CTET-5441,82712,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,17/Sep/24 6:21 PM,18/Sep/24 8:40 AM,17/Sep/24 6:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@478ccb0c,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evo:v,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_148651_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:21 PM
Define Mechanical Fixture Requirements,CTET-5440,82711,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,17/Sep/24 6:21 PM,18/Sep/24 8:40 AM,17/Sep/24 6:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19abaed4,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evp:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_164164_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:21 PM
Create Test Fixture Requirements slides,CTET-5438,82709,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:18 PM,17/Sep/24 6:20 PM,18/Sep/24 8:40 AM,17/Sep/24 6:20 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2ed8d0b8,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evo:i,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_170420_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:20 PM
Gather Board Data Files and Schematics,CTET-5437,82708,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:17 PM,17/Sep/24 6:21 PM,18/Sep/24 8:40 AM,17/Sep/24 6:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ab24f0b,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evo:x,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_196971_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:21 PM
Submit RFQ for BIP FCT Test Fixture to Youngen,CTET-5436,82707,Story,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,17/Sep/24 6:17 PM,17/Sep/24 6:20 PM,18/Sep/24 8:40 AM,17/Sep/24 6:20 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c1b0b5b,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5435,BIP FCT for NPI 2 - Develop Mechanical Fixture,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07evo:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,3.0,,,,,,10000_*:*_1_*:*_187940_*|*_10001_*:*_1_*:*_0,,,,,82706,BIP FCT for NPI 2 - Develop Mechanical Fixture,Done,17/Sep/24 6:20 PM
Investigate 5 inverters that failed at EOL,CTET-5430,82699,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,Ardalan Abolfazli,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,17/Sep/24 12:06 PM,17/Sep/24 4:52 PM,18/Sep/24 8:40 AM,17/Sep/24 4:52 PM,,0,,,,Ardalan Abolfazli,,,712020:b7d2759e-9227-4dae-baf9-74d9295238d5,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@81186c1,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3003,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i0792m:v,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_17130033_*|*_10000_*:*_1_*:*_4093_*|*_10001_*:*_1_*:*_0,,,,,78304,"24-Q2-KR3.3: Inverter EOL coverage updated based on test spec, engineering feedback, and failure Pareto",Done,17/Sep/24 4:52 PM
BStop Voltage Sense during 5ton HVAC Test ,CTET-5426,82691,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,aaron.zetley,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,17/Sep/24 9:39 AM,17/Sep/24 9:03 PM,18/Sep/24 8:40 AM,,,0,,,,aaron.zetley,,,712020:e41a6d8a-f4fc-4456-b585-c1d3052a1bd4,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66a58b6d,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5148,Validate Voltron Firmware for System Lock on September 28,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07etf:,,,,,,,,,,,,,,,,,,,,,System Val - CTET - 91824,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,82376,Validate Voltron Firmware for System Lock on September 28,To Do,17/Sep/24 9:39 AM
BMU BIC13+BIP11 mix testing,CTET-5425,82689,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,17/Sep/24 9:27 AM,18/Sep/24 8:40 AM,18/Sep/24 8:40 AM,,,0,,,,Zeren Zhang,,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73e19630,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3004,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",,,,,,,,,,0.0,,,,,,,,,,,,,2|i07dx5:6,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,78305,"24-Q2-KR4.3: BMU EOL coverage updated based on test spec, engineering feedback, and failure Pareto",To Do,17/Sep/24 9:27 AM
