Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Order mounting hardware for Safety Switches,CTET-5715,83091,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,24/Sep/24 7:02 PM,24/Sep/24 7:02 PM,25/Sep/24 1:18 PM,24/Sep/24 7:02 PM,,0,,,Alex Wong,,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1928146f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5286,ALC/ALP - Optimization and Improvement,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07h1x:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_12537_*|*_10001_*:*_1_*:*_0,,,82524,ALC/ALP - Optimization and Improvement,Done,24/Sep/24 7:02 PM
Run through test procedure with a tech,CTET-5710,83086,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,24/Sep/24 5:44 PM,24/Sep/24 5:44 PM,25/Sep/24 1:18 PM,24/Sep/24 5:44 PM,,0,Ian performed the test that informed several changes,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a57a045,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07dav:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_33968_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,24/Sep/24 5:44 PM
"Rebase factorycommon changes and squash commits, and submit pr",CTET-5709,83085,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,24/Sep/24 5:43 PM,24/Sep/24 5:43 PM,25/Sep/24 1:18 PM,24/Sep/24 5:43 PM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1135087a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07dat:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_40966_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,24/Sep/24 5:43 PM
Submit PR for sdsplugin,CTET-5708,83084,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,24/Sep/24 5:42 PM,24/Sep/24 5:43 PM,25/Sep/24 1:18 PM,24/Sep/24 5:43 PM,,0,"mostly working on rebasing, and squashing commits",,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53999443,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07dap:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_70027_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,24/Sep/24 5:43 PM
Remove power cables from sales demo wall,CTET-5704,83080,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,,,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,Rick Sanner,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,24/Sep/24 2:19 PM,25/Sep/24 9:52 AM,25/Sep/24 1:18 PM,,,0,,,Rick Sanner,,,712020:4255348e-78b9-4f22-ba9d-fbe0b881fbdf,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dabf8a2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07h05:,,,,,,,,,,,,,,,,,,,,,CTET 91824,CTET 92524,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,To Do,24/Sep/24 2:19 PM
Perform cycle time analysis,CTET-5698,83029,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,23/Sep/24 4:23 PM,23/Sep/24 4:23 PM,25/Sep/24 1:18 PM,23/Sep/24 4:23 PM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47aa55f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07b3s:v,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_12285_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,23/Sep/24 4:23 PM
Update work instructions,CTET-5697,83028,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,23/Sep/24 4:21 PM,24/Sep/24 9:33 AM,25/Sep/24 1:18 PM,24/Sep/24 9:33 AM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@624aff2f,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07b3s:r,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_61882579_*|*_10000_*:*_1_*:*_37866_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,24/Sep/24 9:33 AM
Implement workaround/fix for relay aux issues in manta fw,CTET-5696,83027,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,23/Sep/24 4:20 PM,23/Sep/24 4:21 PM,25/Sep/24 1:18 PM,23/Sep/24 4:21 PM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5077371d,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07b3s:i,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_16115_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,23/Sep/24 4:21 PM
Implement a can firmware upgrade and repair SDS in situ.,CTET-5695,83026,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,23/Sep/24 4:20 PM,23/Sep/24 4:20 PM,25/Sep/24 1:18 PM,23/Sep/24 4:20 PM,,0,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44c81725,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07b3s:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_12256_*|*_10001_*:*_1_*:*_0,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,Done,23/Sep/24 4:20 PM
Identify Potential Polycarbonate Suppliers,CTET-5692,83009,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,23/Sep/24 10:53 AM,24/Sep/24 7:42 AM,25/Sep/24 1:18 PM,24/Sep/24 7:42 AM,,0,,,Adam Marcinkowski,Alex Wong,,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f8959ff,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-4763,Build a capable machine shop in Reno,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07fbb:,,,,,,,,,,,,,,,,,,,,,CTET 91824,,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,2.0,,,,,2024-09-23 21:38:06.643,3_*:*_1_*:*_61432312_*|*_10000_*:*_1_*:*_13472221_*|*_10001_*:*_1_*:*_0,"23/Sep/24 2:38 PM;712020:140701ef-2070-4db2-9ccb-33203fbefa7f;[http://www.interstateplastics.com|http://www.interstateplastics.com|smart-link] 

[www.tapplastics.com|http://www.tapplastics.com]

[Port Plastics – Leading Plastics Distributor for Industrial Solutions|https://portplastics.com/]



These I companies that I used when i worked in Bay area, easy to deal with and they have good rates also a lot of them we can get product next day. ",,81663,Build a capable machine shop in Reno,Done,24/Sep/24 7:42 AM
